Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
hauler, 6, 6, 9, 4, e r a t n l i u m,0,10,5,0
hazarding, 9, 8, 6, 1, e i n g r a,0,8,4,0
headmastership, 14, 10, 2, 1, i o,0,2,0,0
hearable, 8, 6, 6, 1, e a l r b w,0,9,5,0
heater, 6, 5, 8, 3, e d r t s a n h,0,9,4,0
hectolitres, 11, 9, 3, 0, e i r,0,4,1,0
held, 4, 4, 10, 7, e s a t r l d w v m,0,11,7,0
hemen, 5, 4, 7, 4, e r d n m y s,0,10,7,0
herded, 6, 4, 6, 3, e d n a l r,0,9,6,0
heroism, 7, 7, 5, 1, e i n s h,0,7,3,0
hey, 3, 3, 10, 8, a o e t w n r g y k,0,19,16,4
highish, 7, 4, 5, 2, e i n s h,0,9,6,0
hilltop, 7, 6, 6, 2, e i s l o p,0,7,4,0
hiring, 6, 5, 10, 5, e a i n g l r w t h,0,9,5,0
hived, 5, 5, 12, 8, e s d a o i l m r p v j,0,21,16,2
hoes, 4, 4, 7, 3, e s o w t r h,0,9,5,0
hollowness, 10, 7, 7, 1, e s n i l w o,0,6,3,0
homoeopathic, 12, 9, 2, 0, i o,0,4,0,0
honeysuckles, 12, 10, 3, 2, i e r,0,4,2,0
hoovering, 9, 8, 8, 2, e i n g r t a o,0,6,2,0
horrified, 9, 7, 9, 4, e s d n a i f o m,0,8,4,0
hosta, 5, 5, 6, 3, e s y o i a,0,4,1,0
hour, 4, 4, 11, 7, e a o s l r u y t p h,0,9,6,0
howl, 4, 4, 9, 5, e a o s l w y j h,0,10,7,0
humaner, 7, 7, 7, 4, e r i l s c n,0,6,3,0
hummocks, 8, 7, 9, 4, e i a o u s k c b,0,9,6,0
hunts, 5, 5, 12, 8, e s a o i u l r p k t n,0,9,5,0
hussy, 5, 4, 6, 2, e s y u p h,0,9,7,0
hydrographic, 12, 10, 3, 0, i o h,0,5,2,0
hypersensitive, 14, 10, 3, 0, i t n,0,1,0,0
hypothesise, 11, 8, 2, 0, e s,0,2,0,0
iciness, 7, 5, 4, 0, e s n i,0,5,3,0
identity, 8, 6, 3, 0, e i t,0,2,0,0
if, 2, 2, 8, 6, o e i t s n m f,0,14,13,3
illhumoured, 11, 9, 5, 0, e i r d u,0,5,2,0
images, 6, 6, 7, 4, e r d s l i h,0,7,3,0
immaturely, 10, 9, 6, 1, e s t y l i,0,3,0,0
immortally, 10, 8, 6, 1, e i a r o m,0,4,1,0
impartiality, 12, 8, 2, 1, i n,0,3,1,0
imperialist, 11, 9, 8, 0, e i r s l a p m,0,3,0,0
implacably, 10, 8, 3, 1, e i a,0,4,3,0
importantly, 11, 10, 3, 1, e i n,0,3,1,0
impregnable, 11, 10, 5, 0, e a b l n,0,5,2,0
improving, 9, 8, 8, 1, e i n g p m o r,0,8,4,0
inadequacies, 12, 9, 3, 0, i n e,0,3,1,0
incalculably, 12, 8, 5, 2, i e y n r,0,4,3,0
incidental, 10, 8, 4, 0, e i n d,0,5,1,0
