Jerusalem,1,0,countryCapital,Palestine
Lima,2,0,countryCapital,Peru
Manila,2,0,countryCapital,Philippines
Adamstown,3,0,countryCapital,"Pitcairn Islands"
Warsaw,1,0,countryCapital,Poland
Lisbon,1,0,countryCapital,Portugal
Doha,3,0,countryCapital,Qatar
Taipei,2,0,countryCapital,"Republic of China (Taiwan)"
Brazzaville,3,0,countryCapital,"Republic of the Congo"
Bucharest,2,0,countryCapital,Romania
Moscow,1,0,countryCapital,Russia
Kigali,3,0,countryCapital,Rwanda
Gustavia,3,0,countryCapital,"Saint Barthélemy"
Jamestown,3,0,countryCapital,"Saint Helena"
Basseterre,3,0,countryCapital,"Saint Kitts and Nevis"
Castries,3,0,countryCapital,"Saint Lucia"
Marigot,3,0,countryCapital,"Saint Martin"
Kingstown,3,0,countryCapital,"Saint Vincent and the Grenadines"
Apia,3,0,countryCapital,Samoa
Riyadh,2,0,countryCapital,"Saudi Arabia"
Edinburgh,2,0,countryCapital,Scotland
Dakar,3,0,countryCapital,Senegal
Belgrade,2,0,countryCapital,Serbia
Victoria,3,0,countryCapital,Seychelles
Freetown,3,0,countryCapital,"Sierra Leone"
Singapore,3,0,countryCapital,Singapore
Philipsburg,3,0,countryCapital,"Sint Maarten"
Bratislava,2,0,countryCapital,Slovakia
Ljubljana,2,0,countryCapital,Slovenia
Honiara,3,0,countryCapital,"Solomon Islands"
Mogadishu,3,0,countryCapital,Somalia
Hargeisa,3,0,countryCapital,Somaliland
Pretoria,2,0,countryCapital,"South Africa"
Grytviken,3,0,countryCapital,"South Georgia and the South Sandwich Islands"
Seoul,1,0,countryCapital,"South Korea"
Tskhinvali,3,0,countryCapital,"South Ossetia"
Juba,3,0,countryCapital,"South Sudan South Sudan"
Madrid,1,0,countryCapital,Spain
Khartoum,3,0,countryCapital,Sudan
Paramaribo,3,0,countryCapital,Suriname
Mbabane,3,0,countryCapital,Swaziland
Stockholm,2,0,countryCapital,Sweden
Bern,2,0,countryCapital,Switzerland
Damascus,3,0,countryCapital,Syria
Dushanbe,3,0,countryCapital,Tajikistan
Dodoma,3,0,countryCapital,Tanzania
Bangkok,3,0,countryCapital,Thailand
Tiraspol,3,0,countryCapital,Transnistria
Tunis,3,0,countryCapital,Tunisia
Ankara,2,0,countryCapital,Turkey
Ashgabat,3,0,countryCapital,Turkmenistan
Funafuti,3,0,countryCapital,Tuvalu
Kampala,3,0,countryCapital,Uganda
Kiev,2,0,countryCapital,Ukraine
London,1,0,countryCapital,"United Kingdom; England"
WashingtonDC,1,0,countryCapital,"United States"
Montevideo,2,0,countryCapital,Uruguay
Tashkent,3,0,countryCapital,Uzbekistan
Caracas,3,0,countryCapital,Venezuela
Hanoi,2,0,countryCapital,Vietnam
Cardiff,3,0,countryCapital,Wales
Lusaka,3,0,countryCapital,Zambia
Harare,3,0,countryCapital,Zimbabwe
